ESPECIFICACOES TECNICAS,,,,,,,,,,,,,,METROLOGIA,,,,,,,,,,,"prontidao
Status",,PATRIMONIO / INVENTARIO,,,,,,,PROCESSO LICITATORIO,,,,,,,OBTENCAO / FINANCEIRO,,,,,,,,"Gerenciamento e transporte do equipamento
OFICINA > ET > TRANSPORTADORA > LABORATORIO",,,,,,,,,,,,,,,,,
"equipamento_classe
ELE – eletrico
MEC – mecanico",equipamento_tipo,equipamento_fabricante,equipamento_modelo,equipamento_serial,equipamento_codigo_interno,equipamento_altura,equipamento_largura,equipamento_equipamento_comprimento,equipamento_tensao,equipamento_potencia,equipamento_necessidade,equipamento_,,faixa de medicao,unidade da medicao,TOLERANCIA,"ERRO MAX TOLERAVEL
ESPEC. PELO USUARIO/PROCEDIMENTO",ERRO MENSURADO CERT. CAL. VIGENTE,VARIANCIA,ANALISE Ia,obsvacao,,,,"prontidao
Status",prioridade,CICLO CALIBRAÇÃO (MESES),"
 DIVISÃO",INCUMBENCIA,CADBEM,INCUMBENCIA_RESPONSAVEL,"PS - Pedido de servico 
",,RESP_PROCESSO,PROCESSO_NUP,CONTRATO / ATA N,VALOR_MAX_TR,DATA_HOMOLOGACAO,DATA_ASS_ATA,VALOR_SERVICO_ATA,SOLEMP,SOLEMP_DATA,NOTA DE EMPENHO,DATA_EMPENHO_RECEBIDO_EXEC,NF,DATA_NF,DATA_CERTIFICACAO_NF,"executor
Laboratorio",,Data de ENTRADA na Oficina  Eletronica,saida para Cali.  Da Oficina  Eletronica,LOTE / REMESSA,RETORNO CAL,ENTREGUE  A OFICINA,,ULTIMA CALIBRAÇÃO,PRÓXIMA CALIBRAÇÃO,VALIDADE CALIBRAÇÃO,CERTIFICADO  ,localizacao,COMENTÁRIOS,,"CUSTO ESTIMADO
BASE HIST + AI",ORÇAMENTO,PAGAMENTO,LOCAL CALIBRAÇÃO
ELE ,MEGÔHMETRO,TEGAM,R1M-A,,,,,,,,,,,,,,,,,,,,,,,,36,MK-48,,,,47,,,,,,,,,,,,,,,,,,23/08/24,25/10/24,,17/02/25,,,45695,#VALOR!,DESCALIBRADO,certificado nº 2142010/2025,CMASM,,,"674,72",,,CMS
ELE ,MULTÍMETRO,SIMPSON,260-6XLPM,,,,,,,,,,,,,,,,,,,,,,,,20,MK-48,,,,48,,,,,,,,,,,,,,,,,,23/08/24,05/09/24,,15/01/25,,,45617,#VALOR!,DESCALIBRADO,certificado nº 2142103/2024,CMS,,,"776,23",,,CMS
ELE ,MULTÍMETRO,FLUKE,77,,,,,,,,,,,,,,,,,,,,,,,,36,MK-48,,,,49,,,,,,,,,,,,,,,,,,26/01/24,01/03/24,,17/05/24,,,45372,#VALOR!,DESCALIBRADO,certificado n° 2142017/2024,CMASM,PS 036/2023,,"776,23",,,CMS
ELE ,MULTÍMETRO,FLUKE,83-V,,,,,,,,,,,,,,,,,,,,,,,,36,MK-48,,,,50,,,,,,,,,,,,,,,,,,26/01/24,01/03/24,,17/05/24,,,45376,#VALOR!,DESCALIBRADO,certificado n° 2142018/2024,CMASM,PS 035/2023,,"560,75",,,CMS
ELE ,OSCILOSCÓPIO,TEKTRONIX,THS730A,,,,,,,,,,,,,,,,,,,,,,,,12,MK-48,,,,51,,,,,,,,,,,,,,,,,,26/01/24,01/03/24,,,,,44791,#VALOR!,DESCALIBRADO,,CMS,PS 046/2023,,"747,66",,,CMS
ELE ,OSCILOSCÓPIO,TEKTRONIX,TBS1102B ,,,,,,,,,,,,,,,,,,,,,,,,12,MK-48,,,,52,,,,,,,,,,,,,,,,,,26/01/24,01/03/24,,17/05/24,,,45390,#VALOR!,DESCALIBRADO,certificado n° 2142024/2024,CMASM,PS 047/2023,,"747,66",,,CMS
ELE ,FONTE DC,SODILEC,DT 5V8A,,,,,,,,,,,,,,,,,,,,,,,,12,EXOCET,,,,96,,,,,,,,,,,,,,,,,,23/08/24,05/09/24,,,,,,#VALOR!,DESCALIBRADO,,CMS,REPARO,,,,,CMS
ELE ,FONTE DC,,DT 5V8A,,,,,,,,,,,,,,,,,,,,,,,,12,EXOCET,,,,101,,,,,,,,,,,,,,,,,,23/08/24,05/09/24,,,,,,#VALOR!,DESCALIBRADO,,CMS,REPARO,,,,,CMS
ELE ,FONTE DC,,600 2A - -  50V / 10A,,,,,,,,,,,,,,,,,,,,,,,,12,EXOCET,,,,102,,,,,,,,,,,,,,,,,,23/08/24,05/09/24,,15/05/25,,,45758,#VALOR!,DESCALIBRADO,,MV,,,,,,CMS
MEC,"MANÔMETRO DIGITAL
 IN LOCO",AOIP,"PRESSURE SENSOR (ART_0000019066) – VÁCUO
AIOP-IT (0-1,6 bar)",,,,,,,,,,,"1,6",Bar,,,,,,,,,,,,12,F-21,,,,PS-CMS-2025-002,,,,,,,,,,,,,,,,,,---,----,,----,,,45106,#VALOR!,DESCALIBRADO,certificado P-005896,CMASM,Calibração deve ser realizada in loco. ,,"1058,44333333333",,,BACS
